iter	Passed	Remaining
0	1	141
1	2	125
2	3	116
3	4	107
4	5	104
5	6	103
6	7	104
7	8	103
8	10	101
9	11	99
10	12	98
11	13	96
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	89
18	20	88
19	21	86
20	22	84
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	74
30	32	73
31	33	71
32	35	71
33	36	69
34	37	69
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
