iter	Passed	Remaining
0	158	158025
1	159	79612
2	160	53336
3	161	40164
4	162	32282
5	163	27004
6	163	23239
7	164	20406
8	165	18206
9	166	16451
10	166	15010
11	167	13810
12	169	12880
13	170	12041
14	172	11358
15	173	10690
16	174	10099
17	175	9572
18	176	9099
19	177	8675
20	177	8292
21	178	7943
22	179	7623
23	180	7331
24	181	7061
25	181	6816
26	183	6623
27	185	6445
28	186	6245
29	187	6056
30	188	5879
31	188	5714
32	189	5559
33	190	5413
34	191	5276
35	192	5147
36	193	5023
37	193	4905
38	194	4793
39	195	4688
40	196	4589
41	198	4520
42	199	4437
43	200	4350
44	201	4266
45	201	4186
46	202	4111
47	203	4038
48	204	3974
49	205	3907
50	206	3843
51	207	3781
52	208	3721
53	209	3662
54	209	3607
55	211	3564
56	212	3513
57	213	3461
58	213	3410
59	214	3361
60	215	3314
61	216	3268
62	216	3225
63	217	3185
64	218	3146
65	219	3107
66	220	3069
67	221	3033
68	222	2997
69	223	2963
70	223	2930
71	224	2898
72	226	2872
73	227	2844
74	228	2815
75	229	2786
76	230	2757
77	230	2729
78	231	2702
79	232	2676
80	233	2650
81	234	2625
82	234	2596
83	235	2572
84	236	2548
85	238	2531
86	239	2509
87	240	2497
88	242	2479
89	243	2461
90	244	2442
91	245	2422
92	246	2403
93	247	2384
94	248	2365
95	249	2347
96	250	2328
97	251	2310
98	251	2292
99	252	2275
100	253	2257
101	254	2241
102	255	2227
103	257	2221
104	259	2208
105	259	2192
106	260	2177
107	261	2162
108	262	2148
109	263	2132
110	264	2118
111	265	2104
112	266	2090
113	267	2076
114	268	2062
115	268	2049
116	269	2035
117	271	2027
118	272	2020
119	273	2007
120	274	1994
121	275	1980
122	275	1967
123	276	1955
124	277	1942
125	278	1930
126	278	1917
127	279	1905
128	280	1893
129	281	1881
130	281	1869
131	282	1858
132	283	1847
133	284	1837
134	285	1828
135	286	1821
136	287	1811
137	288	1800
138	288	1789
139	289	1779
140	290	1769
141	290	1757
142	291	1747
143	292	1737
144	293	1728
145	294	1720
146	294	1711
147	295	1702
148	296	1694
149	297	1685
150	298	1676
151	299	1668
152	300	1661
153	301	1656
154	302	1651
155	303	1643
156	304	1635
157	305	1628
158	306	1621
159	307	1613
160	307	1604
161	308	1596
162	309	1588
163	310	1580
164	310	1573
165	311	1565
166	312	1558
167	313	1551
168	314	1544
169	315	1538
170	316	1532
171	317	1526
172	318	1520
173	319	1514
174	320	1508
175	320	1502
176	321	1495
177	322	1489
178	323	1483
179	324	1477
180	325	1472
181	326	1466
182	327	1460
183	327	1454
184	328	1448
185	329	1443
186	331	1439
187	331	1433
188	332	1428
189	333	1422
190	334	1417
191	335	1411
192	336	1407
193	337	1402
194	338	1397
195	339	1391
196	340	1387
197	341	1382
198	342	1377
199	343	1372
200	344	1369
201	345	1366
202	346	1362
203	347	1357
204	348	1352
205	349	1348
206	350	1343
207	351	1338
208	352	1333
209	353	1328
210	354	1324
211	355	1320
212	356	1315
213	357	1311
214	357	1306
215	358	1302
216	360	1300
217	361	1296
218	362	1291
219	363	1288
220	364	1284
221	365	1280
222	366	1276
223	367	1272
224	368	1268
225	369	1264
226	370	1261
227	371	1257
228	372	1253
229	373	1250
230	375	1249
231	376	1246
232	377	1242
233	378	1238
234	379	1235
235	380	1231
236	381	1228
237	382	1224
238	383	1220
239	384	1216
240	384	1212
241	385	1208
242	386	1205
243	387	1201
244	388	1197
245	389	1194
246	390	1191
247	391	1187
248	392	1183
249	393	1180
250	394	1176
251	395	1173
252	396	1169
253	396	1165
254	397	1162
255	398	1159
256	399	1155
257	400	1152
258	401	1148
259	402	1145
260	403	1141
261	404	1139
262	405	1137
263	406	1134
264	407	1130
265	408	1127
266	409	1124
267	410	1121
268	411	1119
269	413	1116
270	413	1113
271	414	1110
272	415	1107
273	416	1104
274	418	1102
275	419	1100
276	420	1097
277	421	1094
278	422	1091
279	423	1088
280	424	1086
281	425	1083
282	426	1080
283	427	1077
284	428	1074
285	429	1072
286	430	1069
287	431	1067
288	432	1065
289	434	1063
290	435	1060
291	436	1058
292	437	1055
293	438	1052
294	439	1049
295	440	1046
296	441	1043
297	441	1041
298	442	1038
299	443	1035
300	444	1032
301	445	1029
302	446	1026
303	447	1024
304	448	1021
305	449	1020
306	450	1017
307	451	1014
308	452	1011
309	453	1009
310	454	1006
311	455	1003
312	456	1001
313	456	998
314	457	995
315	458	993
316	459	990
317	460	988
318	461	985
319	462	982
320	464	982
321	465	980
322	466	977
323	467	975
324	468	973
325	469	970
326	470	968
327	471	965
328	472	963
329	473	960
330	474	958
331	474	955
332	475	953
333	476	950
334	477	948
335	479	947
336	480	945
337	481	942
338	482	940
339	483	937
340	484	935
341	484	932
342	485	930
343	486	927
344	487	925
345	488	923
346	489	920
347	490	918
348	491	916
349	491	913
350	493	912
351	494	911
352	495	908
353	496	906
354	497	903
355	498	901
356	499	899
357	500	896
358	501	894
359	501	892
360	502	889
361	503	887
362	504	885
363	505	882
364	506	880
365	507	878
366	509	878
367	510	876
368	511	875
369	513	873
370	514	871
371	515	869
372	516	867
373	516	865
374	517	862
375	518	860
376	519	858
377	520	856
378	521	854
379	522	852
380	524	851
381	525	849
382	526	847
383	526	845
384	527	843
385	528	841
386	529	839
387	530	836
388	531	834
389	531	831
390	532	829
391	533	827
392	534	825
393	534	822
394	535	820
395	536	818
396	538	817
397	539	816
398	540	814
399	541	812
400	542	810
401	543	808
402	544	806
403	545	804
404	546	802
405	547	800
406	547	798
407	548	796
408	549	794
409	550	792
410	551	790
411	552	788
412	554	787
413	555	785
414	556	783
415	557	781
416	557	780
417	558	778
418	559	776
419	560	774
420	561	772
421	562	770
422	563	768
423	564	766
424	565	764
425	566	762
426	566	760
427	568	759
428	569	758
429	571	756
430	571	754
431	572	753
432	573	751
433	574	749
434	575	747
435	576	745
436	577	743
437	577	741
438	578	739
439	579	737
440	580	735
441	581	733
442	582	732
443	583	730
444	584	729
445	585	727
446	586	726
447	587	724
448	589	722
449	590	721
450	591	719
451	592	718
452	593	716
453	594	715
454	595	713
455	597	712
456	598	711
457	599	709
458	600	708
459	601	706
460	602	704
461	603	703
462	604	701
463	605	699
464	606	697
465	607	695
466	607	693
467	608	691
468	609	689
469	610	688
470	610	686
471	611	684
472	612	682
473	613	681
474	614	679
475	615	677
476	616	675
477	617	674
478	618	672
479	619	670
480	620	669
481	620	667
482	621	665
483	622	663
484	623	662
485	624	660
486	625	658
